ProposalId,CaptureBlockId,Description,Duration,CAS.ProductTransferStatus,Public,NumFreqChannels,Targets,MinFreq,MaxFreq,RMSNoise
COM-20210331-SP-01,1617190375,Astrometry and Delay Testing  New Delays : Continuum image,,ARCHIVED,,,J2147-8132,,,7.65364893595688E-5
COM-20210331-SP-01,1617186225,Astrometry and Delay Testing 1st test old delays: Continuum image,,ARCHIVED,,,J2147-8132,,,3.7074543797643855E-5
COM-20200106-SP-01,1616579584,DEEP2 offset: J0358-8103 pipeline 32k testing (24-03-2021) copy: Continuum image,,ARCHIVED,,,J0358-8103,,,2.0260406017769128E-5
ENG-20210209-SP-01,1613547617,SDP Engineering Spectral Line Test 17/02/2021 32k: Continuum image,,ARCHIVED,,,J0358-8103,,,1.1784244634327479E-5
ENG-20210209-SP-01,1612950854,SDP Engineering Spectral Line Test 10/02/2021. 32k: Continuum image,,ARCHIVED,,,J0358-8103,,,2.441832475597039E-5
COM-20201216-VK-01,1609527668,Long track on J0408-6545 (UHF-band): Continuum image,,ARCHIVED,,,J0408-6545,,,3.7230897578410804E-4
COM-20201216-VK-01,1609439464,Long track on J0408-6545 (UHF-band): Continuum image,,DELETED,,,J0408-6545,,,3.36409080773592E-4
COM-20201216-VK-01,1608925638,Long track on J0408-6545 (L-band): Continuum image,,ARCHIVED,,,J0408-6545,,,4.254280429449864E-5
COM-20201216-VK-01,1608830172,Long track on J0408-6545 (L-band): Continuum image,,ARCHIVED,,,J0408-6545,,,1.7145252058980986E-5
COM-20200106-SP-01,1608036557,DEEP2 offset: J0358-8103 pipeline 32k testing: Continuum image,,ARCHIVED,,,J0358-8103,,,1.077873366739368E-5
COM-20201110-SB-01,1605060912,RFI search near pulsar J1017-7156: Continuum image,,ARCHIVED,,,J1017-7156,,,6.348637271003099E-6
COM-20200324-SG-01,1601818525,Observation of G330.89-0.36 in 54MHz mode to test new filter: Continuum image,,RECEIVED,,,G330_89-0_36,,,1.4607427874580026E-4
COM-20191128-DH-01,1600348047,MeerTRAP: Continuum image,,ARCHIVED,,,J1210-5226,,,3.432660014368594E-5
COM-20191128-DH-01,1600348047,MeerTRAP: Continuum image,,ARCHIVED,,,J1933-6211,,,1.694590537226759E-5
COM-20191128-DH-01,1600344943,MeerTRAP: Continuum image,,ARCHIVED,,,J0835-4510_off,,,2.842218236764893E-5
COM-20191128-DH-01,1600344943,MeerTRAP: Continuum image,,ARCHIVED,,,J0835-4510,,,4.974873154424131E-4
COM-20200909-MS-01,1600224060," Imaging of Tau A and its surroundings at UHF-band: Continuum image",,ARCHIVED,,,Tau_A,,,0.03619781509041786
COM-20200909-MS-01,1600224060," Imaging of Tau A and its surroundings at UHF-band: Continuum image",,ARCHIVED,,,Tau_A_off,,,8.34852980915457E-5
COM-20200824-MS-01,1600140663,Imaging of Tau A at L-band: Continuum image,,ARCHIVED,,,Tau_A,,,3.839794371742755E-4
COM-20190710-SG-01,1598912763,Stability track on J0408-6545 for narrowband test c856 NB 32k+4k: Continuum image,,ARCHIVED,,,J0408-6545,,,4.102456659893505E-5
COM-20190710-SG-01,1598912763,Stability track on J0408-6545 for narrowband test c856 NB 32k+4k: Continuum image,,ARCHIVED,,,J0408-6545,,,1.7498648958280683E-4
COM-20200824-MS-01,1598416584,Imaging of Tau A surroundings: Continuum image,,ARCHIVED,,,Tau_A_off,,,1.276674447581172E-5
COM-20190710-SG-01,1598393583,Stability track on J0408-6545 for narrowband test c856 NB 32k+4k: Continuum image,,ARCHIVED,,,J0408-6545,,,5.8563568018143997E-5
COM-20190710-SG-01,1598393583,Stability track on J0408-6545 for narrowband test c856 NB 32k+4k: Continuum image,,ARCHIVED,,,J0408-6545,,,1.48877632454969E-4
COM-20200106-SP-01,1597828764,DEEP2 offset: J0358-8103 pipeline 32k testing 19 aug 20 - approx. 1hr on source: Continuum image,,ARCHIVED,,,J0358-8103,,,1.2652365512622055E-5
COM-20200727-BH-01,1596500462,UHF smearing analysis on J0408-6545: Continuum image,,ARCHIVED,,,J0408-6545,,,8.301265770569444E-4
