KatpointTargets,ProposalId,StartTime,CaptureBlockId,Description,Duration,CAS.ProductTransferStatus,Public,NumFreqChannels,Targets,MinFreq,MaxFreq
"J0408-6545 | 0408-658\, radec fluxcal bpcal delaycal\, 4:08:20.38\, -65:45:09.1,J1130-1449 | 1127-145\, radec polcal\, 11:30:07.05\, -14:49:27.4,J1311-2216 | 3C283\, radec gaincal\, 13:11:39.33\, -22:16:41.7,J1337-28\, radec target\, 13:37:19.99\, -28:02:42.0",SCI-20180516-EB-01,2021-03-31T18:02:53Z,1617213676,MHONGOOSE J1337-28 rising 1,20163.39,SPOOLED,,32768,"J0408-6545,0408-658,J1130-1449,1127-145,J1311-2216,3C283,J1337-28",1.33649999983E9,1.44349999983E9
"J0408-6545 | 0408-658\, radec fluxcal bpcal delaycal\, 4:08:20.38\, -65:45:09.1,J1130-1449 | 1127-145\, radec polcal\, 11:30:07.05\, -14:49:27.4,J1311-2216 | 3C283\, radec gaincal\, 13:11:39.33\, -22:16:41.7,J1337-28\, radec target\, 13:37:19.99\, -28:02:42.0",SCI-20180516-EB-01,2021-03-31T18:02:45Z,1617213673,MHONGOOSE J1337-28 rising 1,20167.47,SPOOLED,,4096,"J0408-6545,0408-658,J1130-1449,1127-145,J1311-2216,3C283,J1337-28",8.56E8,1.712E9
"J1939-6342 | 1934-638\, radec fluxcal bpcal delaycal\, 19:39:25.03\, -63:42:45.6,J1424-4913 | 1421-490\, radec gaincal\, 14:24:32.24\, -49:13:49.7,Proxima-Cen\, radec target\, 14:29:42.95\, -62:40:46.2",SCI-20210212-MP-01,2021-03-31T01:35:19Z,1617154503,Probing star-planet interaction in the Proxima - Proxima b system with MeerKAT (March - XVI),1767.25,SPOOLED,,4096,"J1939-6342,1934-638,J1424-4913,1421-490,Proxima-Cen",8.56E8,1.712E9
"J0955-6150\, radec Pulsars\, 9:55:20.85\, -61:50:16.9",SCI-20180516-MB-03,2021-03-30T23:01:32Z,1617145281,MeerTime Relbin U-band 2021-03-30 J0955-6150 conjunction (part 2),7258.81,SPOOLED,,1024,J0955-6150,5.44E8,1.088E9
"J1939-6342 | PKS1934-638 | PKS 1934-63\, radec bfcal single_accumulation\, 19:39:25.03\, -63:42:45.6\, (408.0 8640.0 -30.76 26.49 -7.098 0.6053)",SCI-20180516-MB-93,2021-03-30T22:50:32Z,1617144627,Meertime phase up with flatten bandpass,448.17,SPOOLED,,1024,"J1939-6342,PKS1934-638,PKS 1934-63",5.44E8,1.088E9
"J0955-6150\, radec Pulsars\, 9:55:20.85\, -61:50:16.9",SCI-20180516-MB-03,2021-03-30T18:47:52Z,1617129982,MeerTime Relbin U-band 2021-03-30 J0955-6150 conjunction (part 1),14453.6,SPOOLED,,1024,J0955-6150,5.44E8,1.088E9
"J0408-6545_S\, radec\, 4:08:20.38\, -65:55:08.9,J0408-6545_O | PKS 0408-65\, radec\, 4:08:20.38\, -65:45:09.1\, (1410.0 8400.0 -3.70830186533 3.80739194577 -0.720249171902),J0408-6545_N\, radec\, 4:08:20.38\, -65:35:09.3",SCI-20180516-MB-93,2021-03-30T18:36:27Z,1617129383,Fluxcal J0408-6545,256.1,SPOOLED,,1024,"J0408-6545_S,J0408-6545_O,PKS 0408-65,J0408-6545_N",5.44E8,1.088E9
"J0408-6545 | PKS 0408-65 | PKS 0407-65\, radec bfcal single_accumulation\, 4:08:20.38\, -65:45:09.1\, (850.0 1720.0 66.46 -62.7 20.46 -2.265)",SCI-20180516-MB-93,2021-03-30T18:26:16Z,1617128768,Meertime phase up with flatten bandpass,424.16,SPOOLED,,1024,"J0408-6545,PKS 0408-65,PKS 0407-65",5.44E8,1.088E9
"J0408-6545 | 0408-658\, radec fluxcal bpcal delaycal\, 4:08:20.38\, -65:45:09.1,J0240-2309 | 0237-233\, radec gaincal\, 2:40:08.17\, -23:09:15.7,J0330-2901 | CDFS_6_5\, radec target\, 3:30:17.24\, -29:01:21.0",SCI-20180516-KH-01,2021-03-30T12:10:01Z,1617106110,"MIGHTEE CDFS_6_5 (4H, RUN1)",1911.19,SPOOLED,,32768,"J0408-6545,0408-658,J0240-2309,0237-233,J0330-2901,CDFS_6_5",8.56E8,1.712E9
"J1939-6342 | 1934-638\, radec fluxcal bpcal delaycal\, 19:39:25.03\, -63:42:45.6,J1517-2422 | ApLib\, radec gaincal\, 15:17:41.81\, -24:22:19.5,NGC 5903\, radec target\, 15:18:36.50\, -24:04:07.0",SCI-20210212-KK-02,2021-03-30T00:17:50Z,1617063374,"AGN feedback, HI and star formation in a sample of nearby galaxy groups_NGC5903",17408.64,SPOOLED,,32768,"J1939-6342,1934-638,J1517-2422,ApLib,NGC 5903",8.56E8,1.712E9
"J0408-6545 | 0408-658\, radec fluxcal bpcal delaycal\, 4:08:20.38\, -65:45:09.1,J1239-1023 | 1237-101\, radec gaincal\, 12:39:43.06\, -10:23:28.7,J1253-12\, radec target\, 12:53:57.29\, -12:06:21.0,J1130-1449 | 1127-145\, radec polcal\, 11:30:07.05\, -14:49:27.4",SCI-20180516-EB-01,2021-03-29T18:09:08Z,1617041239,MHONGOOSE J1253-12 rising 2 copy,20081.86,SPOOLED,,32768,"J0408-6545,0408-658,J1239-1023,1237-101,J1253-12,J1130-1449,1127-145",1.33649999983E9,1.44349999983E9
"J0408-6545 | 0408-658\, radec fluxcal bpcal delaycal\, 4:08:20.38\, -65:45:09.1,J1239-1023 | 1237-101\, radec gaincal\, 12:39:43.06\, -10:23:28.7,J1253-12\, radec target\, 12:53:57.29\, -12:06:21.0,J1130-1449 | 1127-145\, radec polcal\, 11:30:07.05\, -14:49:27.4",SCI-20180516-EB-01,2021-03-29T18:09:01Z,1617041229,MHONGOOSE J1253-12 rising 2 copy,20087.5,SPOOLED,,4096,"J0408-6545,0408-658,J1239-1023,1237-101,J1253-12,J1130-1449,1127-145",8.56E8,1.712E9
"J0101-6422\, radec Pulsars\, 1:01:11.12\, -64:22:30.2,J0955-6150\, radec Pulsars\, 9:55:20.85\, -61:50:16.9,J1157-5112\, radec Pulsars\, 11:57:08.17\, -51:12:56.1",SCI-20180516-MB-03,2021-03-29T14:32:59Z,1617028281,MeerTime Relbin U-band 2021-03 part 3,6378.47,SPOOLED,,1024,"J0101-6422,J0955-6150,J1157-5112",5.44E8,1.088E9
"J0408-6545_S\, radec\, 4:08:20.38\, -65:55:08.9,J0408-6545_O | PKS 0408-65\, radec\, 4:08:20.38\, -65:45:09.1\, (1410.0 8400.0 -3.70830186533 3.80739194577 -0.720249171902),J0408-6545_N\, radec\, 4:08:20.38\, -65:35:09.3",SCI-20180516-MB-93,2021-03-29T14:11:25Z,1617027081,Fluxcal J0408-6545,256.1,SPOOLED,,1024,"J0408-6545_S,J0408-6545_O,PKS 0408-65,J0408-6545_N",5.44E8,1.088E9
"J0408-6545 | PKS 0408-65 | PKS 0407-65\, radec bfcal single_accumulation\, 4:08:20.38\, -65:45:09.1\, (850.0 1720.0 66.46 -62.7 20.46 -2.265)",SCI-20180516-MB-93,2021-03-29T14:01:10Z,1617026464,Meertime phase up with flatten bandpass,416.16,SPOOLED,,1024,"J0408-6545,PKS 0408-65,PKS 0407-65",5.44E8,1.088E9
"J1331+3030 | 3C286\, radec polcal\, 13:31:08.29\, 30:30:33.0,J1939-6342 | 1934-638\, radec fluxcal bpcal delaycal\, 19:39:25.03\, -63:42:45.6,J1923-2104 | 1920-211\, radec gaincal\, 19:23:32.20\, -21:04:33.7,J2131-1207 | 2128-123\, radec gaincal\, 21:31:35.26\, -12:07:06.2",EXT-20210823-RT-01,2021-03-29T00:45:51Z,1616978654,Potential L-band  polcals epoch 3 (LST 13  - 01),22174.62,SPOOLED,,4096,"J1331+3030,3C286,J1939-6342,1934-638,J1923-2104,1920-211,J2131-1207,2128-123",8.56E8,1.712E9
"J0408-6545 | 0408-658\, radec fluxcal bpcal delaycal\, 4:08:20.38\, -65:45:09.1,J1239-1023 | 1237-101\, radec gaincal\, 12:39:43.06\, -10:23:28.7,J1254-10a\, radec target\, 12:54:23.75\, -10:32:13.9,J1130-1449 | 1127-145\, radec polcal\, 11:30:07.05\, -14:49:27.4",SCI-20180516-EB-01,2021-03-28T18:12:53Z,1616955078,MHONGOOSE J1254-10a rising 3,20147.08,SPOOLED,,32768,"J0408-6545,0408-658,J1239-1023,1237-101,J1254-10a,J1130-1449,1127-145",1.33649999983E9,1.44349999983E9
"J0408-6545 | 0408-658\, radec fluxcal bpcal delaycal\, 4:08:20.38\, -65:45:09.1,J1239-1023 | 1237-101\, radec gaincal\, 12:39:43.06\, -10:23:28.7,J1254-10a\, radec target\, 12:54:23.75\, -10:32:13.9,J1130-1449 | 1127-145\, radec polcal\, 11:30:07.05\, -14:49:27.4",SCI-20180516-EB-01,2021-03-28T18:12:46Z,1616955073,MHONGOOSE J1254-10a rising 3,20151.47,SPOOLED,,4096,"J0408-6545,0408-658,J1239-1023,1237-101,J1254-10a,J1130-1449,1127-145",8.56E8,1.712E9
