
salId,CaptureBlockId,Description,Duration,CAS.ProductTransferStatus,Public,NumFreqChannels,Targets,MinFreq,MaxFreq,RMSNoise
SCI-20180516-EB-01,1617213673,MHONGOOSE J1337-28 rising 1: Continuum image,,ERROR,,,J1337-28,,,4.186362730251858E-6
SCI-20210212-MP-01,1617154503,Probing star-planet interaction in the Proxima - Proxima b system with MeerKAT (March - XVI): Continuum image,,ARCHIVED,,,Proxima-Cen,,,2.5204766643582843E-5
SCI-20180516-KH-01,1617106110,"MIGHTEE CDFS_6_5 (4H, RUN1): Continuum image",,ARCHIVED,true,,J0330-2901,,,2.4834846044541337E-5
SCI-20210212-KK-02,1617063374,"AGN feedback, HI and star formation in a sample of nearby galaxy groups_NGC5903: Continuum image",,ARCHIVED,,,NGC_5903,,,6.708202363370219E-6
SCI-20180516-EB-01,1617041229,MHONGOOSE J1253-12 rising 2 copy: Continuum image,,SPOOLED,,,J1253-12,,,5.423081802291563E-6
SCI-20180516-EB-01,1616955073,MHONGOOSE J1254-10a rising 3: Continuum image,,SPOOLED,,,J1254-10a,,,5.572242116613779E-6
SCI-20210212-FG-01,1616929986,Observation of the galaxy clusters A399-A401: Continuum image,,ARCHIVED,,,A399-A401,,,7.261419341375586E-6
SCI-20180516-PW-01,1616913070,ThunderKAT XRB 2021-03-27: Continuum image,,ARCHIVED,true,,GRS1915_105,,,1.1029338202206418E-4
SCI-20180516-PW-01,1616913070,ThunderKAT XRB 2021-03-27: Continuum image,,ARCHIVED,true,,J1848-015,,,3.6776060005649924E-4
SCI-20210212-MP-01,1616908870,Probing star-planet interaction in the Proxima - Proxima b system with MeerKAT (March - XIV): Continuum image,,ARCHIVED,,,Proxima-Cen,,,2.8732689315802418E-5
SCI-20180516-KH-01,1616842869,"MIGHTEE CDFS_5_8 (4H, RUN2): Continuum image",,ARCHIVED,true,,J0328-2741,,,4.224096301186364E-6
SCI-20180516-PW-03,1616824945,Short GRB 210323A second observation: Continuum image,,ARCHIVED,true,,GRB210323A,,,5.70108477405E-6
