ProposalId,StartTime,CaptureBlockId,Description,Duration,CAS.ProductTransferStatus,Public,NumFreqChannels,Targets,MinFreq,MaxFreq
SCI-20180516-EB-01,2021-03-31T18:02:53Z,1617213676,MHONGOOSE J1337-28 rising 1,20163.39,SPOOLED,,32768,"J0408-6545,0408-658,J1130-1449,1127-145,J1311-2216,3C283,J1337-28",1.33649999983E9,1.44349999983E9
SCI-20180516-EB-01,2021-03-31T18:02:45Z,1617213673,MHONGOOSE J1337-28 rising 1,20167.47,SPOOLED,,4096,"J0408-6545,0408-658,J1130-1449,1127-145,J1311-2216,3C283,J1337-28",8.56E8,1.712E9
SCI-20210212-MP-01,2021-03-31T01:35:19Z,1617154503,Probing star-planet interaction in the Proxima - Proxima b system with MeerKAT (March - XVI),1767.25,SPOOLED,,4096,"J1939-6342,1934-638,J1424-4913,1421-490,Proxima-Cen",8.56E8,1.712E9
SCI-20180516-MB-03,2021-03-30T23:01:32Z,1617145281,MeerTime Relbin U-band 2021-03-30 J0955-6150 conjunction (part 2),7258.81,SPOOLED,,1024,J0955-6150,5.44E8,1.088E9
SCI-20180516-MB-93,2021-03-30T22:50:32Z,1617144627,Meertime phase up with flatten bandpass,448.17,SPOOLED,,1024,"J1939-6342,PKS1934-638,PKS 1934-63",5.44E8,1.088E9
SCI-20180516-MB-03,2021-03-30T18:47:52Z,1617129982,MeerTime Relbin U-band 2021-03-30 J0955-6150 conjunction (part 1),14453.6,SPOOLED,,1024,J0955-6150,5.44E8,1.088E9
SCI-20180516-MB-93,2021-03-30T18:36:27Z,1617129383,Fluxcal J0408-6545,256.1,SPOOLED,,1024,"J0408-6545_S,J0408-6545_O,PKS 0408-65,J0408-6545_N",5.44E8,1.088E9
SCI-20180516-MB-93,2021-03-30T18:26:16Z,1617128768,Meertime phase up with flatten bandpass,424.16,SPOOLED,,1024,"J0408-6545,PKS 0408-65,PKS 0407-65",5.44E8,1.088E9
SCI-20180516-KH-01,2021-03-30T12:10:01Z,1617106110,"MIGHTEE CDFS_6_5 (4H, RUN1)",1911.19,SPOOLED,,32768,"J0408-6545,0408-658,J0240-2309,0237-233,J0330-2901,CDFS_6_5",8.56E8,1.712E9
SCI-20210212-KK-02,2021-03-30T00:17:50Z,1617063374,"AGN feedback, HI and star formation in a sample of nearby galaxy groups_NGC5903",17408.64,SPOOLED,,32768,"J1939-6342,1934-638,J1517-2422,ApLib,NGC 5903",8.56E8,1.712E9
SCI-20180516-EB-01,2021-03-29T18:09:08Z,1617041239,MHONGOOSE J1253-12 rising 2 copy,20081.86,SPOOLED,,32768,"J0408-6545,0408-658,J1239-1023,1237-101,J1253-12,J1130-1449,1127-145",1.33649999983E9,1.44349999983E9
